path,theta,gamma,vega,delta_mismatch,residual,costs,total_pnl
165,2.950823948163332,-3.601061154117629,0.0,0.0,-0.06235859760837793,0.0,-0.7125958035626354
166,2.409457498803957,-2.1681798024156733,0.0,0.0,0.04710906463213295,0.0,0.2883867610204476
167,1.3163086645439812,-1.6512377433311283,0.0,0.0,0.08871586728525921,0.0,-0.2462132115018818
168,1.4541137057245006,-1.2660190951163626,0.0,0.0,0.09639724345777205,0.0,0.2844918540658625
169,2.049769155535091,-2.165404477758014,0.0,0.0,-0.1559000588961744,0.0,-0.27153538111900843
170,3.601342444232129,-3.2989359759258545,0.0,0.0,-0.0048533388962561435,0.0,0.2975531294100193
171,0.8600258457386827,-0.8874561500853534,0.0,0.0,0.12082791537343586,0.0,0.09339761102677357
172,3.3209966741930637,-3.16779557300188,0.0,0.0,-0.022085087040327505,0.0,0.1311160141509191
173,1.1767041840652417,-0.8778870680929666,0.0,0.0,-0.11782924161544094,0.0,0.18098787435671682
174,2.527046144931774,-3.1541036966462848,0.0,0.0,0.07898613038034584,0.0,-0.5480714213341429
175,1.7495487187062588,-1.9808639196443758,0.0,0.0,-0.08094166199098696,0.0,-0.3122568629292175
176,2.716533629570665,-3.0611435308840877,0.0,0.0,0.08525351353385155,0.0,-0.2593563877796754
177,1.1407186414085255,-1.2268957569935572,0.0,0.0,0.09722020757475604,0.0,0.011043091989677123
178,2.497913819837397,-3.180882279642657,0.0,0.0,-0.038984345929875826,0.0,-0.7219528057351852
179,2.7217626450918493,-2.4662762893049086,0.0,0.0,-0.06610946934593984,0.0,0.18937688644099637
180,0.8575448988264909,-0.7176271289282969,0.0,0.0,-0.1308229485687789,0.0,0.009094821329341585
181,3.186100412102153,-3.383621138137523,0.0,0.0,-0.02073563526253517,0.0,-0.2182563612978612
182,2.256151841393739,-2.0998050751586335,0.0,0.0,0.06745879538834908,0.0,0.2238055616235073
183,0.8036433411307361,-0.7027369938227299,0.0,0.0,-0.13579587549602895,0.0,-0.03488952818794644
184,1.4315659295148493,-1.5372305513880278,0.0,0.0,0.0983752917969028,0.0,-0.0072893300762473245
185,2.4287709987090653,-2.3690959585889666,0.0,0.0,0.04520896896554311,0.0,0.10488400908566575
186,3.865166459139309,-2.915973870864342,0.0,0.0,-0.003650443090048491,0.0,0.9455421451849375
187,2.768334149651479,-2.4608606967879316,0.0,0.0,-0.017655969983351404,0.0,0.289817482880224
188,2.15537251344381,-2.337068479605092,0.0,0.0,0.019750426081480095,0.0,-0.16194554007977047
189,1.1500825830496797,-1.300227394296836,0.0,0.0,0.11047757114160235,0.0,-0.03966724010555822
190,1.533435464600769,-1.5067175049590262,0.0,0.0,-0.10999300261553441,0.0,-0.08327504297383825
191,2.7160311004690008,-3.672201677865491,0.0,0.0,-0.01757878638542675,0.0,-0.973749363781863
192,1.3420219558842148,-1.5700344101735977,0.0,0.0,0.07675169822306702,0.0,-0.1512607560663355
193,1.3011012748672155,-1.274269968530597,0.0,0.0,-0.1192833567029269,0.0,-0.09245205036638993
194,3.5720999376286255,-2.899524324935466,0.0,0.0,-0.00017002969395012038,0.0,0.6724055829992324
195,2.4299647126149115,-2.234129229246467,0.0,0.0,-0.07984695317815788,0.0,0.11598853019023636
196,3.4285883965428114,-3.3405538123280905,0.0,0.0,0.028684120124117335,0.0,0.11671870433880827
197,3.2359506676546723,-2.7297290688075178,0.0,0.0,-0.10385430872954426,0.0,0.4023672901176383
198,3.9159405252676045,-4.377949962158337,0.0,0.0,-0.20483452793365448,0.0,-0.666843964824352
199,2.027513375384839,-2.354710860845777,0.0,0.0,0.0619371599767371,0.0,-0.2652603254841921
200,2.915294507573902,-2.571902036168745,0.0,0.0,0.0007351204978013966,0.0,0.3441275919029323
201,1.80475366973522,-1.5004486866253937,0.0,0.0,-0.08659809060665882,0.0,0.2177068925031307
202,2.5247849239004356,-2.4588667596338722,0.0,0.0,0.04062331733486978,0.0,0.10654148160148225
203,1.2222109942101052,-1.2568130654119043,0.0,0.0,0.10170153235891033,0.0,0.0670994611571274
204,1.0132004090480844,-1.028839068826695,0.0,0.0,-0.13483447527103262,0.0,-0.1504731350496371
205,2.065342475296327,-1.8077803453330017,0.0,0.0,0.07302765666497513,0.0,0.3305897866282379
206,3.077167031778385,-3.0466453640903275,0.0,0.0,-0.05168257145183436,0.0,-0.021160903763771444
207,2.8933507921406063,-2.453591118706966,0.0,0.0,0.0006189397429920002,0.0,0.440378613176577
