t,S,T_rem,option_value,hedge_shares,cash,step_pnl,theta_pnl,gamma_pnl,delta_mismatch_pnl,residual_pnl
84,98.67224166607046,0.041666666666666664,3.3853411693811353,-0.3168699555096226,34.411882441652665,-0.0047085613986517175,0.01706596299399411,-0.022789756250615408,0.0,0.001015231857969581
85,98.8273241954553,0.04117063492063492,3.3342461942731205,-0.2255711792044457,25.403479539647876,0.016364843476803562,0.01810741307554878,-0.0022860289593991385,0.0,0.000543459360653923
86,98.54778697000232,0.04067460317460317,3.37891382353844,-0.19748810022389884,22.628328475102933,0.01076213260338841,0.018456465721850793,-0.00753366412612673,-0.0,-0.00016066899233565385
87,98.19859430571361,0.040178571428571425,3.461293070085631,-0.25280023235584603,28.07949525433808,0.006175305161349016,0.018079355146772776,-0.011618240048724403,-0.0,-0.00028580993669935755
88,97.85065694343746,0.03968253968253968,3.567332686729433,-0.3206548657382162,34.74306954121563,0.00587286314142169,0.017454713668087263,-0.011263595707834482,-0.0,-0.00031825481883109106
89,98.45110960913236,0.039186507936507936,3.3501343080486308,-0.3868077184064731,41.21657852608699,-0.014652454347737627,0.016697978575761094,-0.032469951527597844,0.0,0.001119518604099123
90,97.8142138011736,0.03869047619047619,3.5481969015659196,-0.2771792859709352,30.423839530406216,-0.02122644592167122,0.018179510828956583,-0.038986074994679536,-0.0,-0.0004198817559482662
91,97.55617265348286,0.03819444444444444,3.640955323385416,-0.3986357295325096,42.30442575314987,0.010525684021251884,0.01674837963925609,-0.0060226155141698,-0.0,-0.0002000801038344064
92,97.41812568752489,0.037698412698412696,3.688670309509817,-0.4474281368526206,47.064893177156435,0.014518021959082578,0.016092738818511112,-0.0016714162844938699,-0.0,9.66994250653358e-05
93,97.51709561776096,0.03720238095238095,3.626496071424132,-0.47442949237675913,49.695807634859634,0.015712995842353687,0.01573900975376344,-0.0008444737776354517,0.0,0.0008184598662256994
94,97.76878879423855,0.0367063492063492,3.499411737800596,-0.4602504948116044,48.31359227266759,0.011721723742178513,0.016099224672668992,-0.005566837554243047,0.0,0.0011893366237525679
95,97.22776839836287,0.03621031746031746,3.736426274264506,-0.41806984832976213,44.19007994705561,-0.0103918301411586,0.016916059615774814,-0.02678636830492821,-0.0,-0.0005215214520052046
96,96.48283745669036,0.03571428571428571,4.153103883176392,-0.5164796737086347,53.75878097571036,-0.03140260062700474,0.015285368247470349,-0.04680639720010242,-0.0,0.00011842832562732747
97,96.48237611521692,0.03521825396825397,4.140685930888168,-0.6369221652516109,65.38006291864814,0.013360399416395613,0.012710501746556864,-1.5396628430136035e-08,-0.0,0.0006499130664671792
98,97.00678112896902,0.034722222222222224,3.8108534683613264,-0.6406239384993265,65.73787095561076,-0.00546178456853661,0.012714592858423938,-0.01990501150912158,0.0,0.0017286340821610303
99,97.33590847422252,0.03422619047619047,3.618583449230634,-0.5635269113490567,58.259514485657306,0.007375871326422351,0.014641362009703639,-0.008831031127857216,0.0,0.001565540444575928
100,97.4309026570939,0.03373015873015873,3.554571798427098,-0.5115500404413859,53.20082631956919,0.015945156071397817,0.0158505844855643,-0.0007863290136208304,0.0,0.000880900599454346
101,97.29480473769006,0.033234126984126984,3.6082435879109482,-0.498311368044128,51.91148551026421,0.014662343263635698,0.016237328575668668,-0.0016476501454196313,-0.0,7.266483338666183e-05
102,97.4234207458404,0.03273809523809523,3.5257668415853125,-0.5258314659830967,54.5895896263011,0.01538796291387247,0.015806531717965994,-0.0014399774811106596,0.0,0.0010214086770171365
103,97.31932884100964,0.03224206349206349,3.5635069114814613,-0.5067553110720774,52.73164848903056,0.01553218455497982,0.01632712756681942,-0.0009695856959166004,-0.0,0.00017464268407699907
104,97.67568264472509,0.031746031746031744,3.3691271408610817,-0.5289229419577034,54.88953198512163,0.006440604688091583,0.015997985266012257,-0.01117983910206591,0.0,0.0016224585241452361
105,97.332092098104,0.03125,3.524575132794695,-0.4675857982551319,48.898869707923474,0.005695173509242972,0.017368129794596534,-0.011135027559749357,-0.0,-0.0005379287256042052
106,97.39175871672941,0.030753968253968252,3.4766049313139433,-0.5342990308453909,55.39275773516169,0.01663991357626244,0.016149403432708893,-0.0003163043726181684,0.0,0.0008068145161717159
107,97.34516080235346,0.030257936507936505,3.485102800484814,-0.5275164704550633,54.73273523093633,0.016626278942365152,0.01643584345738412,-0.00019591022986779828,-0.0,0.00038634571484883265
108,97.58250422403145,0.02976190476190476,3.3448250200080096,-0.5398716553787587,55.936007612034125,0.01269771248010568,0.016304638145092493,-0.005051597337477019,0.0,0.0014446716724902074
109,97.68164963512116,0.029265873015873016,3.2784314285809977,-0.5001728586236045,52.06261610163071,0.017320239388245576,0.017311456269599394,-0.0009275879586461115,0.0,0.0009363710772922924
110,98.79898741174497,0.028769841269841268,2.8427878414516385,-0.4851830232653156,50.59888622666189,-0.10596776275382576,0.01777636843221316,-0.12053898498354455,0.0,-0.0032051462024943606
111,99.46221026072283,0.02827380952380952,2.7026632732443474,-0.25274198559836836,27.634221219892407,-0.02722554387740404,0.021610892067744948,-0.04970809922096889,0.0,0.0008716632758198999
112,100.12902995622751,0.027777777777777776,2.664543326883205,-0.1008358790466527,12.52542836974361,-0.028995144214982383,0.023097244159602088,-0.052608975322682806,0.0,0.0005165869480983354
113,99.2249865024734,0.027281746031746032,2.6873979034410667,0.057411914377367035,-3.319802612903332,-0.0747903763045775,0.023746219913753572,-0.09743695174395461,-0.0,-0.0010996444743764516
114,99.07616055016008,0.026785714285714284,2.691014493485511,-0.16046450711398652,18.299163907207415,0.02044623146326622,0.023108691255536853,-0.002641052114931859,-0.0,-2.140767733877641e-05
115,98.80940244411532,0.026289682539682536,2.7298605013011112,-0.19804419148932007,22.022633227222823,0.014202363039773933,0.022995670809669362,-0.008482698166282212,-0.0,-0.0003106096036132166
116,99.04562258974099,0.025793650793650792,2.6509273041037673,-0.26382575157542165,28.52275283358639,0.01689520215460201,0.022502242647495778,-0.006564065860580032,0.0,0.0009570253676862636
117,98.04669731027111,0.025297619047619048,2.957695808475904,-0.2100899228706653,23.20068438852616,-0.09667420507671871,0.02332397197531093,-0.12076483748353324,-0.0,0.0007666604315035991
118,98.56245244364662,0.0248015873015873,2.736152852484608,-0.4436759075392689,46.103476096736564,-0.006827797390916537,0.020059513072290137,-0.02861790261929827,0.0,0.0017305921560915958
119,99.03348097119132,0.024305555555555552,2.582672905604781,-0.3315108474401658,35.048560397127424,-0.0023234172075374798,0.02224837019680081,-0.02601381140754015,0.0,0.0014420240032018573
120,98.46222587434336,0.023809523809523808,2.726454502183536,-0.22075489135622073,24.080251418040092,-0.01743534953925569,0.023929771306558895,-0.040536311223258625,-0.0,-0.0008288096225559614
121,98.03544140997327,0.023313492063492064,2.8816920364280527,-0.36257788733559715,38.04483670940098,-0.00011749774211207708,0.02221881314165099,-0.021400181731554446,-0.0,-0.0009361291522086209
122,97.68765916499383,0.022817460317460316,3.0373216323237884,-0.4642101703994006,48.008878717260515,0.0062907355042700576,0.0204984595437818,-0.013306201978531006,-0.0,-0.000901522060980737
123,97.70795453805476,0.02232142857142857,3.0073427818815652,-0.5432304782603741,55.72874048044269,0.019506646974373418,0.018847784338563746,-4.221286647993811e-05,0.0,0.0007010755022896116
124,97.9887784720991,0.021825396825396824,2.842228854845203,-0.5444001361981925,55.84357936607165,0.012787340110435082,0.019037060665211648,-0.008157841177877205,0.0,0.0019081206231006398
125,98.88819388019505,0.02132936507936508,2.4722846823260056,-0.48951365603322816,50.46582087057513,-0.06983130168903537,0.02063593438998675,-0.08976423369656784,0.0,-0.0007030023824542708
126,98.80273102183043,0.020833333333333332,2.472162983297288,-0.2763304757828309,29.384812724530516,0.02402920589561539,0.024878879170225812,-0.000947670250349705,-0.0,9.799697573928054e-05
127,99.14256406825695,0.020337301587301584,2.358494813281858,-0.30226622070589393,31.947652093435583,0.011265058821979444,0.02480295433462173,-0.014979883533524712,0.0,0.0014419880208824242
128,99.21269920377094,0.01984126984126984,2.317423251809764,-0.21545379692079647,23.341077363559464,0.02619223738662661,0.026269938304170525,-0.0006685184277602822,0.0,0.0005908175102163661
129,99.99500532147012,0.019345238095238096,2.219116472728082,-0.19926668608457254,21.735326032351942,-0.05736514133105629,0.026783055250830308,-0.08461516322010379,0.0,0.0004669666382171936
130,100.3276121575246,0.018849206349206348,2.21330695299676,0.02076010227168945,-0.26625648161870263,0.012711830243829166,0.028442781869844967,-0.01586098031651991,0.0,0.00013002869050410953
131,100.94258016315275,0.0183531746031746,2.3106314276696693,0.11653274182574669,-9.874994683831716,-0.02575853257310762,0.028706687969609526,-0.054181726950111454,0.0,-0.00028349359260569293
132,100.46067687604685,0.017857142857142856,2.173497726891817,0.2911105943926755,-27.497606353640673,-0.0034262439320169,0.027772890041633837,-0.03159380687079386,-0.0,0.00039467289714312584
133,100.37618207946359,0.017361111111111112,2.131602143394794,0.15750242714554674,-14.075379071830545,0.028447811949491413,0.029307417720873977,-0.001040074837285927,-0.0,0.0001804690659033617
134,100.0144823811832,0.016865079365079364,2.0724547849586514,0.13407400174818074,-11.723839485663888,0.010536525102099133,0.02983597452284241,-0.01945212510706944,-0.0,0.000152675686326164
135,100.68868689774906,0.016369047619047616,2.1286345925428733,0.02516799028388017,-0.831669371509946,-0.03921968550922754,0.030469476196178437,-0.06977344540241037,0.0,8.428369700439614e-05
136,100.98557559112355,0.015873015873015872,2.18092230248471,0.2310945671006892,-21.566359939465162,0.01610770320837105,0.030041133843795913,-0.013071646880582079,0.0,-0.0008617837548427834
137,100.84990781926122,0.015376984126984126,2.109829344526389,0.32143412112451775,-30.68965626057227,0.02718024757945096,0.02941327631556703,-0.0026481982794185023,-0.0,0.00041516954330243425
138,100.64835207821233,0.01488095238095238,2.0270891201029713,0.2856696230757092,-27.083078609150448,0.024893191846570403,0.030366778821218837,-0.006059876310139813,-0.0,0.000586289335491378
139,100.86737438777375,0.014384920634920634,2.053380106942221,0.22763670829907423,-21.24237210736,0.023355793980173494,0.031523358129400304,-0.007474163669875787,0.0,-0.0006934004793510244
140,100.5541813937651,0.013888888888888888,1.9424192698836862,0.29903905830377076,-28.444821866743954,0.017021709769482394,0.031197688187518068,-0.01502367199815902,-0.0,0.0008476935801233453
141,100.13971983979312,0.013392857142857142,1.8525188248148723,0.2036242583906387,-18.85065177813575,0.005319009003158973,0.032846942770637017,-0.02796764970912218,-0.0,0.00043971594164413444
